book_name,book_category,currency,book_price,book_link
Gikuyu na Magongona by Vincent Kieya,Society & Culture,KShs,"1,000.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
THE TONGUE BETWEEN THE TEETH by Husse...,Novels,KShs,"1,300.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
"Daudi anapika, grade 2",Picture Storybooks,KShs,350.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
BENNY AND GRIFFIN by Bill Kinaro,Fiction,KShs,700.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Intersex persons and the law in Kenya...,Gender Studies,KShs,"2,300.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
THE FORTITUDE OF THE RESILIENT by ANT...,Motivation & Self Help,KShs,"1,500.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Dago wa Munje,Books,KShs,800.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Kivuli Kinaishi,Books,KShs,"1,044.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Power System Protection and Switch,Books,KShs,"1,860.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Seth the Silly Gorilla,Books,KShs,712.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
When Bullets Begin to Flower,Books,KShs,"1,130.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
How Stories Began 11,Books,KShs,778.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Toko and the Lost Kittens,Books,KShs,732.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Why slug likes it cool,Books,KShs,705.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Two Foolish Bulls,Books,KShs,742.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Siku za Mashaka,Books,KShs,894.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Why Beetles Roll Cowdung,Books,KShs,797.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Miraba and Proud Vuno,Books,KShs,677.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
It looks like a goat,Books,KShs,783.00,https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Usborne Fingerprint activities Animals,Books,KShs,"1,960.00",https://nuriakenya.com/product/gikuyu-na-magongona-by-vincent-kieya/
Alka Read yourself Level 1 Assorted,Books,KShs,640.00,https://nuriakenya.com/product/alka-read-yourself-level-1-assorted/
Alka Easy Colour (12×12) Assorted,Books,KShs,610.00,https://nuriakenya.com/product/alka-read-yourself-level-1-assorted/
African Mammals to Read Colour and Keep,Books,KShs,"1,500.00",https://nuriakenya.com/product/alka-read-yourself-level-1-assorted/
Tales From the Blue Forest,Books,KShs,797.00,https://nuriakenya.com/product/alka-read-yourself-level-1-assorted/
Toko and the Dog with One Ear,Books,KShs,732.00,https://nuriakenya.com/product/alka-read-yourself-level-1-assorted/
